日期,市场,店铺类型,品牌,子品类,系列,是否进口,表面材质,规格,香味,置入方式,片数,包数,销售额,销量,均价
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,干爽网面,250,无香味,其他,16,2,270561.3900,7830,34.55445594
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,干爽网面,250,无香味,其他,8,1,13657.1900,1286,10.61989891
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,棉柔亲肤,225,无香味,其他,10,1,171610.0000,7796,22.01257055
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,棉柔亲肤,225,无香味,其他,28,1,43151.2000,1548,27.87545220
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,棉柔亲肤,225,无香味,其他,30,1,1192308.6000,50097,23.80000000
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,棉柔亲肤,250,无香味,其他,16,1,948115.2000,27968,33.90000000
1709,阿里,天猫超市,KAO/花王,日用,零触感系列,国产,棉柔亲肤,250,无香味,其他,8,1,85908.3000,4317,19.90000000
1709,阿里,天猫超市,KAO/花王,裤型,安睡裤,进口,其他,其他,其他,其他,2,1,14588.2000,698,20.90000000
1709,阿里,天猫超市,KAO/花王,裤型,安睡裤,进口,其他,其他,其他,其他,6,3,21084.8000,352,59.90000000
1709,阿里,天猫超市,Ladycare/洁婷,其他,其他,其他,其他,其他,其他,其他,其他,其他,421155.1000,7817,53.87681975
1709,阿里,天猫超市,Ladycare/洁婷,其他,其他,国产,棉柔亲肤,240,其他,其他,其他,其他,25557.4000,3506,7.28961780
1709,阿里,天猫超市,Ladycare/洁婷,其他,其他,国产,棉柔亲肤,240,无香味,其他,其他,其他,415883.7200,12649,32.87878251
1709,阿里,天猫超市,Ladycare/洁婷,其他,其他,国产,棉柔亲肤,245,无香味,其他,其他,其他,429.6000,24,17.90000000
1709,阿里,天猫超市,Ladycare/洁婷,其他,其他,国产,棉柔亲肤,290,无香味,其他,其他,其他,2425.5000,245,9.90000000
1709,阿里,天猫超市,Ladycare/洁婷,其他,其他,国产,棉柔亲肤,350,无香味,其他,其他,其他,8844.8000,762,11.60734908
1709,阿里,天猫超市,Ladycare/洁婷,其他,其他,国产,棉柔亲肤,410,无香味,其他,其他,其他,304.5000,7,43.50000000
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,丝柔超薄,290,无香味,其他,7,1,566.0400,61,9.27934426
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,丝柔超薄,350,无香味,其他,20,5,7034.7200,190,37.02484211
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,丝柔超薄,350,无香味,其他,8,2,8538.7500,728,11.72905220
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,丝柔超薄,410,无香味,其他,4,1,63747.7700,10750,5.93002512
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,丝柔超薄,420,无香味,其他,16,4,24281.3100,1486,16.34004711
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,丝柔超薄,420,无香味,其他,4,1,27722.6600,4314,6.42620770
1709,阿里,天猫超市,Ladycare/洁婷,夜用,其他,国产,棉柔亲肤,290,其他,其他,16,2,71846.1600,7969,9.01570586
